Account	Hardfork Balance	Current Balance
0xfbd3b95a8048be01ad4d6f982af8999102d63a1d	5000	0
0x6a372582289af40ec678f33293cab8982940acaf	5000	0
0x6a5b4eadb5db3d7e783d964de82948a8a4f2dea5	5000	0
0x86c8d0d982b539f48f9830f9891f9d607a942659	5000	0
0x1c6702b3b05a5114bdbcaeca25531aeeb34835f4	5000	0
0xb3c0c9d92a3293e018b464ddd078af9780a1321e	5000	3657.600471
0xbfd93c90c29c07bc5fb5fc49aeea55a40e134f35	5000	3657.600471
0xb6f78da4f4d041b3bc14bc5ba519a5ba0c32f128	5000	1849.852716
0x76cb9c8b69f4387675c48253e234cb7e0d74a426	5000	0
0x0609d83a6ce1ffc9b690f3e9a81e983e8bdc4d9d	5000	1849.852716
0x05348e9ed9037d7c17492d4517760aad0719d27a	4999.9995	0
0xb31d1159403e319bb4fe5f8092e0829e33dc6852	4999.994543	0
0xf5b62f05a9f5022e8b5e865870bef61053023fb0	4999.994	3657.596082
0xef462aebab9f2946e3a3d7102976d034db082e26	4999.99	3657.593156
0xe06bfa683344844bd9e7834409dff0a38f500368	4998.9	636.5995786
0x8b84cde05ca2c64edd26c69c4fddc1973a37650d	4991	0
0x3dbcada3cdc184424f6c69d6b981e6a0742cbfd7	4990	0
0x25313a61bef2cd064a78c19acafcf5d951703a5f	4966.754667	3633.280842
0xd9cd2f66e020d82d53c67fe6b562432c86dedba5	4940	0
0x6294bf0cc8c3f24f3447b81b036aac40a7c01633	4863.311833	3557.61033
0xb22f62d3cd249ee199e8f886d9013f33210d42be	4734	0
0x8501302993e106baae3feffd4e78da337cdee841	4723.901233	0
0xaa09688e89371fee6dcda9dd7a995737e2a3a196	4690.464627	3431.169126
0xea454a591b3354a8b638d541db02a5d8a9f6d2f2	4544.27635	3324.229464
0x772aa6aba53203f9517db70a4cea6ff5aacd9644	4502.847947	0
0x1fa6548e808995b05caa57516623ecf48d600216	4500	0
0xbc90b3ce40fc3ed921d910f3e046c65954fff7cb	4499.991282	1664.864219
0xd7c2431e37edacb04bc2e72419cac90ef2d1bce8	4497.1	0
0xf25e4c70bc465632c89e5625a832a7722f6bffab	4480	0
0x5d30cb130da29b08b54f7259027b9a3d9716e0aa	4461	0
0xd6bb09ced4111bd5cd46c31a733b1d3dbd0ddc32	4322.70673	0
0x0e1f4b8a382e6a8ffb34813cc1f2e2c896954fe1	4296.904762	3143.272176
0x95ba14024ab02ce0360956af9a7658a3592ff568	4282.234675	0
0x96bed321f4c4f6ed1b469c022199b8ede2d26499	4269	3122.859282
0xe8fc5fb814c624ff7337442a886d355deed44f04	4251.648389	0
0x6b2ca3035f2e32bbe61756cdfdb2ba5c24db59c0	4231.555239	538.87981
0xc1544f5bfde77959128d03245b815d4bdbe004b6	4223.158004	3089.324941
0xa12623e629df93096704b16084be2cd89d562da4	4200.1	3072.457548
0x99ca98911d8deab1f93ee7770f80a3503e0202e5	4199.9995	3072.38403
0x8cc76c02c9e9f9bba1f0568b2e0a487b63055d4e	4173	0
0xc7e876e69caa082fbdaf0bcc87b5dcc92de0f3f7	4159.693133	1538.963928
0x13d8c756f609b6a9f0077a6d149f0e817b9a9ab5	4153	3038.002951
0xc246a9eb1e3aa0b5233e3766f8673502bfce744c	4121.680307	0
0x680c57ae331ab9282b58ba8dfaa36d8552532156	4102.075124	0
0x6dce6bff93f1707e957caab0a702b0f2b80e5848	4100	2999.232386
0x1d37d2d1c2809c238fa5f94e8b2c17b4431ff84c	4096.5	2996.672066
0x6ba31eff1434eeebc921dc6069b3a38ffea6d13c	4087.73913	0
0xbb9bc244d798123fde783fcc1c72d3bb8c189413	4020.025504	2940.729435
0xe07d26482df7c1c6670f0a96250db81922c51afd	4002	0
0x7e12d318239d70a532479b28baa47ec9c4bf83e6	4000.9	2926.738745
0x8ad3921357ce9edd75acdbc549e4e775d076f98d	4000.001518	2926.081487
0x106280101c9d5b5b169063a2a44432add49f7b76	4000	0
0xed4be79379f2cea72081bd831c38b242078540ac	4000	0
0xab4cce6668a11cb44051ea694139bce0626e73dd	4000	0
0xa36cef69157b7e182e79e623f65377c789b2601f	4000	0
0xcbe41a78e7337707be9db412adb3a78f2ce5758d	4000	0
0x9fd90e77db8d5f2abdb87942e90c2da8e9036c68	4000	2926.080377
0xb8d2b160f9b3dd3e30a99041096d430db3f02c7a	4000	0
0xe10ac19c546fc2547c61c139f5d1f45a6666d5b0	4000	0
0xb6e2d440c46510ec44266a3f58165e3956173df0	4000	0
0x7a7a4f807357a4bbe68e1aa806393210c411ccb3	4000	2926.080377
0x5b49afcd75447838f6e7ceda8d21777d4fc1c3c0	3999.99	0
0xf5633cd3d048bf3ac890d8659c3d9ec6a4d8e7ad	3999.97	1479.871074
0xa94bbb8214cf8da0c2f668a2ac73e86248528d4b	3977.939118	0
0x802dfe67c85adccc6d5095a7b40d72f8ce7fbecb	3964.93107	0
0x84f522f0520eba52dd18ad21fa4b829f2b89cb97	3949	0
0x6e98a8a7ac1aa0c6cc135efe46cdcd15a94bbc3b	3945.482233	0
0xc1c4718c461fb19309a24900078b487af5ddf8dd	3935.888844	0
0x0bd031229a6c65bff623a6c569600a2b2ff323bd	3913.592208	0
0xe37f5fdc6ec97d2f866a1cfd0d3a4da4387b22b5	3905.7215	2857.11376
0x2e2d7ea66b9f47d8cc52c01c52b6e191bc7d4786	3900	0
0x085b4ab75d8362d914435cedee1daa2b1ee1a23b	3879.998518	0
0x76cb306530455abb4341fc10608d5fd869389acf	3849.5	0
0x1e0f81e81befb5ae5b975cb0a80a48e86b9364cc	3847.077519	0
0xf4d05206ba84a3cd22bde576c5148e57deff813a	3824	0
0x4e7b54474d01fefd388dfcd53b9f662624418a05	3809.52256	2786.742302
0x0a9de66f5fda96a5b40d1ca9cd18bfb298c67d1c	3803.252299	0
0x55a3df57b7aaec16a162fd5316f35bec082821cf	3799.9998	0
0x44670ad71206acfcf481ef84e1332c09295603de	3750	0
0x4959f006cbae0c011bcedc07f76ee86288b67a88	3708.04897	2712.512332
0x36c510bf8d6e569bf2f37d47265dbcb502ff2bce	3682	0
0x0832c3b801319b62ab1d3535615d1fe9afc3397a	3661.375286	0
0x681e3e62b05176bb8e70a2c48e269acdc7a4ba79	3645.564159	0
0x55df5b53b0764a86cf735f0f86d83f374164a375	3637.4	0
0xfb5c285e7a858cef03bad6667274aee94d47694f	3608.60313	2639.765702
0xcf655d520683359063183ba407bb20b4c24dd76c	3601	458.5799041
0x2526f45ef8d08d87bed0c0beef4ad24acff87f92	3583.440974	0
0x7bf34e0c98b7504332fa683d25e08748f74ee8c1	3515	2571.293131
0x4422c8a71b1c31cbc0a736adc0abb0dfca32fbe1	3510.884747	2568.282741
0x84ffe9803399e8ee736000d76a444a66d3170ae6	3500	0
0xddf5810a0eb2fb2e32323bb2c99509ab320f24ac	3500	0
0x028eb5db377bc0851d5c7ea535264c9c0ec54ed2	3500	0
0x9dd9ca89fcbf6ef99f7a4f4acc1671224a66baaa	3373.129974	0
0x9676ed41adf2bd3fa0d496025d1c8180d6aae88f	3361.40448	2458.934922
0xcc7b0481cc32e6faef2386a07022bcb6d2c3b4fc	3340	0
0xa6e98ececb3693e51937f68a9619dd3ac3f837ae	3333.33	0
0xddadd27fa7c88879a8f5f9745c33568e8be78380	3310.1	2421.404664
0xc0d913fb53cb78de630f0e77ce17b62ca551dd36	3274.18472	0
0x165ddec4527ebb6a9c6253c3f7c55b4b080a61be	3255.959245	0
0x6a05961e2b233b6a6aabb2fd8473d5c7b2c359d8	3216.36389	0
0x39e1840a4b5eedccd68bd505f273dbd376e388d1	3191.434783	406.4226205
0xa2e416b70bb85dabbf59ced406b9fec6e428b738	3191.01	0
0xdb45111cc9c3048eefa525fdb9779aa06524b7a1	3154.299129	2307.433196
0x3ff573c58782a628cbe0e01da5fb66b86f5a9c2d	3132.021005	0
0xc913593ad759a04b9f50ea654a9229564e71d53f	3115.008737	0
0x2ce11a92fad024ff2b3e87e3b542e6c60dcbd996	3113.303028	0
0xd6fc0446c6a8d40ae3551db7e701d1fa876e4a49	3091.480052	0
0x383a7c899ee18bc214969870bc7482f6d8f3570e	3069	0
0x16545dd715e21f93e6c6931204a454a73ff37216	3045	0
0x57390ef60370603337246d227f3e121ccaad728f	3024.945825	2212.808655
0x277cfbd57b812d18d44bbf31992aaf2cfbde0eef	3003.607956	0
0x0583993f02b796bd73f12aebcc0daa7661a3ee0c	3001.44	2195.613672
0xd59d92d2c8701980cc073c375d720af064743c0c	3000.5	0
0x81a92401e44e4f3d3841935e15aaa88403d8f439	3000.3	0
0x8f399ae52ee3798b6e50ba2e1bebc2d71d116658	3000.3	2194.779739
0x1b4668df7a90a24f1da60bbbcad3092178d43f78	3000.1	0
0xd1f7ba51a0792719bfaad36d5401f9211ecd5913	3000.1	0
0xdd134c29cc6e6307443c4ed1b146d438d7d21996	3000	0
0x252b6555afdc80f2d96d972d17db84ea5ad521ac	3000	2194.560283
0x53d11b3e208a76765cbbd5aafb9d64c4c7e1f8aa	3000	2194.560283
0xdc57ec81af701d6c07231812de8ad0a3616a381e	3000	382.0437968
0x4b15dd23e5f9062e4fb3a9b7decf653c0215e560	3000	0
0x605f9d932f60d13597637ce629b8bea0f143ec3a	3000	2194.560283
0x0014396a8f6d2942b3965e43b89f98a6a5551f6e	3000	2194.560283
0x9d4d2aa23646a2eca94f66d8e873853a4ce24c3a	3000	0
0x84dfa20abe34732bf1b71d6f9904270f85c952bd	3000	2194.560283
